landuse,SURF
0,"&SURF ID='NA' RGB=255,255,255 /"
1,"&SURF ID='C01' RGB=249,197,92 VEG_LSET_FUEL_INDEX=5 /"
2,"&SURF ID='C02' RGB=254,193,119 VEG_LSET_FUEL_INDEX=4 /"
3,"&SURF ID='C03' RGB=133,153,156 / Barren"
4,"&SURF ID='C04' RGB=114,154,85 VEG_LSET_FUEL_INDEX=10 /"
5,"&SURF ID='C05' RGB=114,154,85 VEG_LSET_FUEL_INDEX=10 /"
6,"&SURF ID='C06' RGB=255,254,212 VEG_LSET_FUEL_INDEX=1 /"
7,"&SURF ID='C07' RGB=255,254,212 VEG_LSET_FUEL_INDEX=1 /"
1000,"&SURF ID='Ignition' VEG_LSET_IGNITE_TIME=0. COLOR='RED' /"
1001,"&SURF ID='Burned' RGB=20,20,20 /"
